Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
O43772	O43772	MCAT_HUMAN	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	1058.57	1698	1173.7	4071.34	2602.53	1441.54			795.895		1715.37	2079.83	1240.85		
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	7830.49	4060.84	5052.13		1388.55	4325.3			4443.67			3425.78	10298.9		
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1411.22	1666.67	2436.23	1934.15	1468.45	1485.55			1517.21		1937.13	1403.43	1447.67		
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2778.78	3150.33	3196.13		2642.97	1392.83			2217.4			2716.14	2715.85	1382.39	
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2		1818.86	1177.61		1044.44	1706.39			2019.12		1001.14	1164.57	1570.76		
O43823	O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8		625.167			551.973	566.238			708.117		493.669	819.898			
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	945.687	1159.59		733.346	889.383	947.96					763.928	988.824	978.725		
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin	671.546	576.002										504.722			
O43852	O43852	CALU_HUMAN	CALU	Calumenin	3924.4	2725.08	3763.26	3594.38	2142.84	2878.19			1978.83	1557.36	1598.69	5508.95	3892.45	2698.08	
O43865;Q96HN2	Q96HN2;O43865	SAHH2_HUMAN;SAHH3_HUMAN	AHCYL1;AHCYL2	S-adenosylhomocysteine hydrolase-like protein 1	1164.99	1197.15	1128.99		1427.12	1364.75							440.46		
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	807.414		1255.21	1236.08	920.123	881.332			640.553		1108.52	669.889			
O60218	O60218	AK1BA_HUMAN	AKR1B10	Aldo-keto reductase family 1 member B10	2563.76	707.983		467.433	615.008	860.263			726.523	1599.75	1110.61	1103.01			
O60220	O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	676.361	373.573	920.691	557.626	1001.26	934.73					1232.91		923.369		
O60264	O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	953.464	1696.06	932.352	1747.36	1044.87	1165.08			1309.52		1174.11	951.019	1132.38		
O60271	O60271	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	1248.82	1172.35	1163.76	800.11		1431.06			1162.44			1706.08	1153.51		
O60306	O60306	AQR_HUMAN	AQR	RNA helicase aquarius	897.829		819.668			568.516			802.252		804.662		829.055		
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial			654.387	1196.82	1568.41	1024.1					1094.01	1215.08			
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A		589.494	797.89		1307.3	501.487			1116.58			482.469			
O60361	O60361;P22392	NDK8_HUMAN	NME2P1	Putative nucleoside diphosphate kinase	9756.7	11780.8	6881.11	1464.87	1229.03	8095.43	3267.65		6985.97	4399.54	1048.49	9990.96	8730.03	2544.78	1983.25
O60443	O60443	GSDME_HUMAN	GSDME	Gasdermin-E			690.714									389.541	485.971		
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	414.448	1312.62	880.19	651.727	473.221	659.329			295.431			804.667	548.104		
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	1787.94	1897.39	1877.84			1262.87			1144.14			1338.15	886.761		
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	1268.42	1137.91	930.789			955.762			974.132			1690.74	1207.89		
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	8265.65	7883.45	7627.74	2389.4	4344.38	7828.72			7901.86		4076.6	6914.21	6536.75	3875.66	
O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	1557.76	1781.87	1494.93			1814.52			1390.51			2052.77	1826.39		
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	2564.25	2352.13	2655.39	1633.37	1263.93	2598.56			1476.58		1527.26	3940.32	1884.4		
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	1682.87	1461.31	1452.4	1713.1		1795.93			1699.06			1590.82	1587.34		
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	1404.61	1253.85	1674.96	1677.46	278.479	1318.02			889.966			892.953	1053.84		
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	10164.6	12211.1	15023.4	2248.1	681.268	15974.7	2423.63		13922.5	2030.96	3644.41	13078.7	12723.1	2221.36	1887.92
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	1211.83	2166.91	3196.81	1537.84	1698.37	2382.93			1761.99	720.443	1054.63	1987.44	1743.54	1287.88	
O60739;P41567	O60739;P41567	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	3843.5	5509.96	3663.45			4509.2			3657.38			3879.99	3861.69		
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	1347.2	774.04	1535.66			1679.14			1023.1			973.954	1588.62		
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	1846.86	1440.92	1736.5	2091.33	2165.31	1219.89			1880.55	712.362	1982.23	1792.94	2178.26		
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	1278.87	1426.7	831.842	877.995		1054.7			951.1			1423.99	1568.44		
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb protein 1	742.048	87.8387	613.492			714.02						799.205	491.32		
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879	P23527;Q99880;Q99879;Q16778;Q96A08;Q8N257;Q93079;P58876;O60814;Q99877;P62807;P06899;Q5QNW6;P57053;P33778	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC12L;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	Histone H2B type 1-K	355540	372502	312175	569444	399466	326701	14472.1		500073	8185.06	534767	310862	335828	12748.4	7962.87
O60832	O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	1996.38	1761.95	1142.48	1360.55	1712.98	1320.55			1478.4		1658.02	1310.57	1699.22		
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	2505.18	3236.47	2334.28	1582.47		2796.73			3680.2			3043.49	2404.01	3263.77	
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	3786.34	3321.34	2104.12			2119.25			3402.06			1586.54	2737.33		
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	761.463	775.114	283.645	822.129		277.136			672.922			482.671	858.692		
O60885	O60885;Q15059	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	1045.7	354.286				527.372			913.933				658.548		
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	2103.02	1553.57	2499.81			2470.77			2006.55			1736.71	1865.88		
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	8543.91	3739.7	4069.64	1626.97	900.009	3271.1	2270.53		3992.83	3940.38	1086.49	4301.41	4941.29	2808.02	2686.75
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3		1547.03	685.975			1007.94			323.872			423.184	725.556		
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	1512.47	2025.24	1109.27			1329.72			1171.6			1129	854.994		
O75170	O75170	PP6R2_HUMAN	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	18091.1	19578.5	22116.7	38643.7	43957.8	46731.6	33730.6		23060	35319.4	38024.3	25098.5	20156.4	42977.5	35875.6
O75191	O75191	XYLB_HUMAN	XYLB	Xylulose kinase	792.137								733.69			748.742	835.313		
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1960.64	2566.48	1934.06	1738.88	1362.03	2700.75	3102.7		2601.27	4014.76	1537.08	1738.06	2113.53	4098.08	3175.37
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	720.165		1194.39	1008.6	945.506	918.234			1185.02		1364.37	1072.14	619.103		
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	1124.68	670.236	1819.84	1155.06	1474.58	1888.26			1714.83		1551.52	1518.43			
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1	276.529	948.739				835.677						644.271	851.259		
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2		966.283	1134.59	1018.17	1070.28	1521.31			964.287		1507.11	2028.83			
O75334	O75334	LIPA2_HUMAN	PPFIA2	Liprin-alpha-2	7825.78	10443.7	10786.1	14493	6451.88	854.65	18555.5		13363.3		11448	6166.84	6521.05	23530.5	
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	957.829	775.573	1151.62	905.195		1261.49			1114.52			1363.71	1426.3		
O75342	O75342	LX12B_HUMAN	ALOX12B	Arachidonate 12-lipoxygenase, 12R-type	825.277			841.393	1907.71	1813.34	659.044		434.63	1031.96	520.452	583.254			
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	6335.33	4418.05	4657.79			6519.86			4458.51			5754.46	5336.05		
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	2095.65	1253.97	2156.51	1498.1	1117.06	2419.42			615.571	1448.01	649.609	2340.83	2153.84		
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	2122.47	1652.77	1312.43	716.137		1773.42			1471.09			1904.29	2197.5		
O75356	O75356	ENTP5_HUMAN	ENTPD5	Nucleoside diphosphate phosphatase ENTPD5	2385.97	1115.34	2754.05	1692.19	3277.4	3095.64	2843.77		1874.87			2599.79	1681.28	6124	
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	7875.86	7753.45	10458.9	14492.5	8417.82	10297.9			8094.61		10533.2	4358.32	7544.13		
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	4309.48	2854.75	5609.05	1837.5	900.307	2450.01	2471.19		3411.12	5929.83	1763.83	2630.08	1982.68	3336.58	4556.13
O75387	O75387	LAT3_HUMAN	SLC43A1	Large neutral amino acids transporter small subunit 3	1547.51		1394.55		1534.68				1119.5		1007.99		767.751		
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	2988.12	4143.85	5740.29	6091.85	3839.24	4461.77	815.852		3207.99	3539.57	5561.13	5177.61	1973.02	1098.39	
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	2736.35	1956.37	3678.97	5171.03	2898.36	1916.5			1820.69	467.394	2623.28	2076.76	2260.45	959.967	
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	917.291	992.659	1202.02		1436.34	1886.02			1769.67			1034.7	1378.48		
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	1845.05	2180.02	2490.07			1619.13			1964.9			2651.44	2039.18		
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	1550.87	2115.27	1556.12	1517.8	1434.15	1075.16			1625.27		2172.03	1203.8	1012.7		
O75477	O94905;O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	2180.83	1981.41	2942.73	4878.44	2436.59	2339.3			1505.47		3477.79	2859.3	2836.45	1879.39	
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	1463.35	1234.45	1707.09	2675.62	1618.4	1536.48			1594.98		3221.77	985.177	700.882		
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	911.608	1086.4	1022.46		1451.81	1676.57			1659.36		997.004	874.009	600.188		
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	963.675	375.012	839.777	824.207	1143.17	617.223					1442.56	881.978	784.902		
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	2070.84	2226.98	2152.31	1749.57	2219.81	2067.68			2208.92		1750.57	2332.7	1929.65		
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	1850.33	2866.15	1364.28			1646.96			1594.9			1785.98	1218.94		
O75556	O75556	SG2A1_HUMAN	SCGB2A1	Mammaglobin-B	747.916				1384.53		1048.96		886.616		757.457		449.139		
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	2015.82	1598.39	763.837	1529.52	1414.86	1802.68	905.295		1204.41		1351.69	1356.85	1139.26	770.016	
O75616	O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial	562.252		959.691		775.684										
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	3216.94	3437.85	3407.84	1363.9	2919.68	3640.74			4306.01		2702.75	4240.66	4038		
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	1304.26		881.275			618.913									
O75683	O75683	SURF6_HUMAN	SURF6	Surfeit locus protein 6		856.712			398.056				494.304						
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog	471.409	930.723	861.097		507.968				1204.14		1023.95		538.51		
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	673.31	672.309	443.571	679.474	952.373	749.603			382.822			848.262	678.575		
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	1450.13	2932.87	1267.17	1102.7		1786.5			1329.83			973.361	1524.35		
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	2008.5	1949.52	1937.14			1528.59			2066.66			1419.45	2220.8		
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	447.689	650.737	1057.09			537.576			790.833			421.069			
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	1753.61	1861.49	2359.25	3221.77	2215.17	1273.31			1498.65	2089.86	2353.37	1884.84	2405.22	1143.08	
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	67190.5	33022.6	54316.7	7917.83	4418.04	41719.1	10641.1		34869.6	13519.3	5650.58	41056	83083.5	14296.5	10800
O75880	O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial	782.017		1626.14	1457.07	2084.5	1077.06					2275.71	1139.66	1147.99		
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	1356.44	941.664			1136.5	1475.62			1340.7			1002.77	914.151		
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	1104.5	815.075	1568.1			1159.65			1233.67			1313.98	1171.34		
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	4117.31	2800.11	2883.41	7280.4	2484.66	4537.68	7103.57		3413.66	4272.6	3491.46	2500.88	2914.86	8499.67	6315
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	626.166		472.875		324.699	1075.75			698.972			790.407	1027.86		
O75947	O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	4139.87	4588.49	4278.89	8200.9	7684.93	6036.02			4441.17		8080.61	4033.07	3025.59		
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	1767.36	1130.68	832.775	719.121	1156.84	945.258			1326.75		980.357	1944.86	1239.79		
O75964	O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	3548.46	4563	5525.2	8575.72	8648.73	5027.49			4746.83	1852.55	7961.22	4287.39	3610.86		
O75976	O75976	CBPD_HUMAN	CPD	Carboxypeptidase D	939.747	756.901	582.068								1116.88		1183.12		
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3	3233.82	3291.13	4092.41	848.006		3112.73			4447.3			4914.61	2488.79		
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	3976.24	4962.56	3653	3168.76	4895.88	3332.87			7165.38		3620.54	4366.26	5451.64		
O76031	O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	1338.77	1142.43	1458.64	1939.48	1862.75	1336.71			1551.14		1963.15	1335.06			
O76071	O76071	CIAO1_HUMAN	CIAO1	Probable cytosolic iron-sulfur protein assembly protein CIAO1		1677.69				1317.06			2566.62			1372.88	1165.99		
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72	949.838	707.1	1020.38	881.496	791.145	1299.44			671.443			951.849	1187.61		
O94760	O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	909.464	1836.54	1059.49			1143.54			1100.92			1354.61	1023.21		
O94766	O94766	B3GA3_HUMAN	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3			1130.85	1286.66									385.33		
O94776	O94776	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2	1620.93	2235.61	2242.85		1640.05	3412.33			2689.64		681.326	2173.83	2047.14		
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	1690.65	1478.37	2222.87	2151.05	2030.36	1316.01			1373.73		2692.53	1979.75	1880.67		
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	665.617	897.267	771.661		1009.47						856.096	972.056	778.281		
O94903	O94903	PLPHP_HUMAN	PLPBP	Pyridoxal phosphate homeostasis protein	1135.95	1534.28	1391			1451.75			2043.1			1044.98	1630.72		
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	776.828	832.178	1369.9	1901.39	1294.82	730.95			986.703		1871.64	668.793	999.744	493.991	
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	2416.28	2937.06	2433.84		2771.71	3329.27			2499.01		1862.27	2492.33	2608.21		
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	2257.1		1954.21	2574.61	1273.53	920.707			1906.33		2386.63	1321.32	1311.16		
O94973	O94973;O95782	AP2A2_HUMAN	AP2A2	AP-2 complex subunit alpha-2	1112.49	904.045	1316.1	699.765	1180.12				915.762			822.216	1601.75		
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	3927	3083.44	3396.75	1832.59		3142.85			3091.85			3081.84	3813.75	5366.41	
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4		1392.79	3134.36	2982.54	2486.02	1868.33			1368.45		4092.88	1701.98	405.56		
O95169	O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial					597.567				728.037		1249.43				
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3	3501.4	3114.01	3615.92	3955.29	2824.83	5199.31			2666.04		3228.64	3425.82	3484.17	3737.98	
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	1742.36	2448.76	1667.22	3858.53	2876.98	2290.98			1959.04		2436.76	1489.42	1029.06		
O95232	O95232	LC7L3_HUMAN	LUC7L3	Luc7-like protein 3	769.094	894.264	1007.97		631.201	965.599			708.991			727.116	775.7		
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	1570.4	1589.73	1754.57	1455.75	1226.92	1448.28					1427.73	1000.41	1681.48	1027.58	
O95299	O95299	NDUAA_HUMAN	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	942.688		935.718	1073.12	824.386	877.089			603.115		1198.09	909.432			
O95336	O95336	6PGL_HUMAN	PGLS	6-phosphogluconolactonase	1364.07	1636.73	1697.43	1534.63		1071.56			1740.58			1510.23	2509.42		
O95340	O95340	PAPS2_HUMAN	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2			1528.22			727.534									
O95372	O95372	LYPA2_HUMAN	LYPLA2	Acyl-protein thioesterase 2	1078.88	1929.74	2092.18	1632.31		1971.43			2821.5			1936.83	1812.48		
O95373	O95373	IPO7_HUMAN	IPO7	Importin-7	3803.58	4811.75	2514.36	2315.61	226.864	4519.55			3683.55			4370.1	4171.99		
O95376	O95376	ARI2_HUMAN	ARIH2	E3 ubiquitin-protein ligase ARIH2	250.138		648.385			478.123			570.568			614.725	689.131		
O95394	O95394	AGM1_HUMAN	PGM3	Phosphoacetylglucosamine mutase	1393.95	1151.16	1285.39			1790.14			1246.7			891.777	1160.26		
O95400	O95400	CD2B2_HUMAN	CD2BP2	CD2 antigen cytoplasmic tail-binding protein 2	814.985		828.864		669.643	923.003						576.732	679.898		
O95433	O95433	AHSA1_HUMAN	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	3273.99	3445.24	2997.09	2710.22		3237.32			2880.9			2313.57	2621.73		
O95478	O95478	NSA2_HUMAN	NSA2	Ribosome biogenesis protein NSA2 homolog		672.456							1491.99						
O95571	O95571	ETHE1_HUMAN	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial	494.635		1038.25	969.405	821.634	750.959					1252.01	994.065	669.707		
O95573	O95573	ACSL3_HUMAN	ACSL3	Fatty acid CoA ligase Acsl3	2155.54	2168.3	1939.28	2600.81	2217.32	1992.99			1408.09		2093.58	1924.38	2219.35		
O95747	O95747	OXSR1_HUMAN	OXSR1	Serine/threonine-protein kinase OSR1	1903.5	2092	1613.21	1838.49		2797.13			2856.86			2215.51	2284.1		
O95757	O95757	HS74L_HUMAN	HSPA4L	Heat shock 70 kDa protein 4L	1255.83	633.363				1852.89							1349.43	6683.34	
O95777	O95777	LSM8_HUMAN	LSM8	U6 snRNA-associated Sm-like protein LSm8			851.192		502.838	667.637						912.953	1404.69		
O95793	O95793	STAU1_HUMAN	STAU1	Double-stranded RNA-binding protein Staufen homolog 1	1022.04	1008.2	1010.53	1133.8		1140.75			722.305			1062.83	828.969		
O95816	O95816	BAG2_HUMAN	BAG2	BAG family molecular chaperone regulator 2	1685.68	1460.48	1451.18		1976.21	971.044			1368.31		1824.02	1578.58	1073.56		
O95831	O95831	AIFM1_HUMAN	AIFM1	Apoptosis-inducing factor 1, mitochondrial	1563.28	1392.89	1498.93	1096.62	1355.25	1707.65			1454.95		2342.14	1058.39	2693.49		
O95861	O95861	BPNT1_HUMAN	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1	2172.42	2900.94	2867.63	2534.26	614.854	3014.52			2590.79			2163.05	3250.58		
O95865	O95865	DDAH2_HUMAN	DDAH2	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2			406.71		353.278	388.436			1216.17	594.481		852.827	470.612		
O95881	O95881	TXD12_HUMAN	TXNDC12	Thioredoxin domain-containing protein 12	2683.21	2192.36	2208.07			2229.7			768.573			2519.99	2901.63	2384.2	
O95994	O95994	AGR2_HUMAN	AGR2	Anterior gradient protein 2 homolog	13025	29772.4	35241.3	47763.9	12827.2	26221.2	15709.6		32773.5	13995.4	10028.4	33587.6	10966.1	23037.8	3930.85
O96000	O96000	NDUBA_HUMAN	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	876.661		848.866	1458.22	1211.55	977.936			467.313		1125.45	815.688			
O96005	O96005	CLPT1_HUMAN	CLPTM1	Cleft lip and palate transmembrane protein 1	2286.79	2946.68	1541.73	3556.47	1996.04	1227.63			2015.47		2950.74	2370.91	952.09		
O96008	O96008	TOM40_HUMAN	TOMM40	Mitochondrial import receptor subunit TOM40 homolog	6357.94	7715.79	5072.15	7570	5856.13	6186.21	6933.05		4020.69	2639.13	7033.51	6575.02	4652.46	2058.37	
O96013	O96013	PAK4_HUMAN	PAK4	Serine/threonine-protein kinase PAK 4	1219.16	1007.55	303.057	424.045									706.21		
O96019	O96019;O94805	ACL6A_HUMAN	ACTL6A	Actin-like protein 6A	1857.46	1732.48	1404.52	533.086	1199.26	1425.91			1644.09		728.076	2055.88	1700.31		
P00167	P00167	CYB5_HUMAN	CYB5A	Cytochrome b5	1262.04	3015.53	1479.76	1856.01	1415.51	1297.39			1420.66		1183.56	1152.88	446.926	1685.76	
P00338	P00338	LDHA_HUMAN	LDHA	L-lactate dehydrogenase A chain	36105.3	54625.9	46729.7	10957.1	6472.66	45716	20786.4		43695.1	20127.7	9567.15	39209.1	26018.7	21279.2	16055
P00352	P05091;O94788;P00352;P47895;P30837	AL1A1_HUMAN	ALDH1A1	Aldehyde dehydrogenase 1A1	73266.4	49597.4	167269	15321.6	7676.93	99919.7	22767.3		94419.3	26204.1	11428.6	56426.2	74284.2	25244.6	19349.9
P00367	P00367;P49448	DHE3_HUMAN	GLUD1	Glutamate dehydrogenase 1, mitochondrial	1090.43	4222.45	3821	6479.38	5459.19	3574.36			2749.48	2711.27	5129.86	3204.92	3982.58	857.693	
P00387	P00387	NB5R3_HUMAN	CYB5R3	NADH-cytochrome b5 reductase 3	2024.06	3076.97	2123.68	2841.94	1964.79	2489.63			1453.07		2387.15	3570.08	2889.13		
