Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	447.378	682.704	1000.91	564.773	695.798	737.825	700.259
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1380.53	1209.13	1267.91	979.125	1164.89	1006.91	710.967
O43251;Q9NWB1	Q9NWB1;O43251	RFOX1_HUMAN;RFOX2_HUMAN	RBFOX1;RBFOX2	RNA binding protein fox-1 homolog 2	351.619			54.6232	219.949	36.1264	193.526
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	1393.24	1275.34		1240.8	1277.38	1281.65	1332.66
O43286	O43286	B4GT5_HUMAN	B4GALT5	Beta-1,4-galactosyltransferase 5	1782.81	1450.19	1112.74	1704.63	1389.78	1454.46	1887.67
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	507.495	377.48		662.227	616.41	647.656	629.065
O43294	O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	950.002	580.508		955.26	809.574	675.569	881.679
O43314	O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	275.829	354.203			417.419		256.955
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1123.81	1010.39	1500.8	838.588	882.671	1171.2	769.436
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	10496.5	9897.9	8450.34	8874.18	10329.3	10118.8	10882.8
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	493.935	678.977	618.768			372.478	1100.15
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	1655.95	1662.83	2564.83	1478.62	1607.73	1885.1	1307.81
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	3664.99	3728.78	3431.44	4086.11	3783.54	4204.24	4037.05
O43402	O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8		164.428			139.571	265.138	
O43414	O43414	ERI3_HUMAN	ERI3	ERI1 exoribonuclease 3	323.187	575.22		554.286	588.053	550.18	540.18
O43432	O43432	IF4G3_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3	435.302	645.836		558.272	446.137	580.11	616.493
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H	1168.6	1039.65		1153.76	1298.11	1223.61	952.416
O43464	P83110;O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	812.317	645.216		803.23	635.67	654.152	482.59
O43488	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	1149.09	1018.53		599.507	1187.14	1576.21	899.862
O43491	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2	890.411	470.877		512.181	952.915	875.231	323.689
O43516	O43516	WIPF1_HUMAN	WIPF1	WAS/WASL-interacting protein family member 1	485.595	725.423					
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein	1383.34	838.75		1074.62	559.798	1386.24	679.367
O43592	O43592	XPOT_HUMAN	XPOT	Exportin-T	611.423	663.868	1094.33	627.683	495.808	763.507	582.912
O43598	O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	940.294	1050.99		1009.09	928.334	905.013	1067.19
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	932.552	1037.95	2537.45	1147.84	1134.66	730.955	635.708
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3	910.952	883.528		1063.6	1191.11	922.097	1526.21
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	911.091	757.925	1195.9	890.008	689.789	620.276	1062.15
O43657	O43657	TSN6_HUMAN	TSPAN6	Tetraspanin-6		228.437		441.557	345.161	224.421	423.996
O43660	O43660	PLRG1_HUMAN	PLRG1	Pleiotropic regulator 1		307.5		679.927	328.255		342.775
O43663	O43663	PRC1_HUMAN	PRC1	Protein regulator of cytokinesis 1	277.399	406.693			547.74	464.523	
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	2119.28	1703.93	1291.79	1404.31	1453.86	1279.15	1801.87
O43674	O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	312.146	481.525			610.988		
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	447.547	186.737			470.845	424.08	483.225
O43678	O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	604.895	382.564	804.285	693.48	720.805	870.077	552.843
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	2304.53	2108.04	3465.84	2136.59	2448.91	1937.93	1900.13
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3	1467.39	1739.96	2479.21	1774.71	1675.03	1527.16	1567.26
O43688	O43688	PLPP2_HUMAN	PLPP2	Phospholipid phosphatase 2	497.457			459.836		390.097	
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	15260.3	13682.9	14069.8	14266.3	14114.5	13598.9	13095.7
O43709	O43709	BUD23_HUMAN	BUD23	Probable 18S rRNA (guanine-N(7))-methyltransferase	214.838	278.915			205.194	342.803	
O43715	O43715	TRIA1_HUMAN	TRIAP1	TP53-regulated inhibitor of apoptosis 1	265.77						
O43719	O43719	HTSF1_HUMAN	HTATSF1	HIV Tat-specific factor 1	465.12	592.308	883.396	646.284	322.915	323.806	452.353
O43739;Q15438;Q99418	Q15438;Q99418;O43739	CYH1_HUMAN;CYH2_HUMAN;CYH3_HUMAN	CYTH1;CYTH2;CYTH3	Cytohesin-3		386.694					487.815
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1	435.87	988.354		966.694	668.62	897.347	798.286
O43760	O43760	SNG2_HUMAN	SYNGR2	Synaptogyrin-2		554.328		728.605			
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	520.987	861.455		1168.14	906.907	825.229	1001.76
O43768	O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	683.027	1428.3	2411.3	961.179	1293.29	848.217	722.4
O43772	O43772	MCAT_HUMAN	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein					363.187		
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	1888.09	2019.18	2360.81	1805.62	1973.9	1889.35	1689.64
O43795	Q9UBC5;O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	1499.76	401.053		1060.15	271.533	606.975	184.654
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	2152.7	1804.95	2573.2	1576.47	1926.96	2018.21	1746.82
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	3532.56	3336.13	2840.77	2690.83	3195.87	3078.69	2719.87
O43815	O43815	STRN_HUMAN	STRN	Striatin	312.084	339.493		199.667			
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	666.169	510.755	1749.14	492.407	892.94	1045.55	889.085
O43819	O43819	SCO2_HUMAN	SCO2	Protein SCO2 homolog, mitochondrial	176.75					770.96	
O43823	O43823	AKAP8_HUMAN	AKAP8	A-kinase anchor protein 8	202.902	299.261				367.055	
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	883.338	515.695		431.577	515.976	405.771	545.805
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin	1216.69	1113.4	1548.41	1193.24	1287.13	1145.96	1180.26
O43852	O43852	CALU_HUMAN	CALU	Calumenin	6307.73	6063.64	5375.16	5806.21	5134.47	6265.69	5656.94
O43854	O43854	EDIL3_HUMAN	EDIL3	EGF-like repeat and discoidin I-like domain-containing protein 3	662.494	358.774		436.96	523.225	201.05	287.246
O43865	O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1	1140.17	964.837	1877.11	1179.97	854.054	1080.88	1066.47
O43896;O60333;Q12756	Q12756;O43896;O60333	KIF1A_HUMAN;KIF1B_HUMAN;KIF1C_HUMAN	KIF1A;KIF1B;KIF1C	Kinesin-like protein KIF1C				1538.2			
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	483.369	92.4771		710.317	288.836		811.76
O43929	O43929;CONT|Q2YDI2|ORC4_BOVIN	ORC4_HUMAN	ORC4	Origin recognition complex subunit 4	189.028	408.029					460.566
O43930;P49137;P51817;Q16644;Q96PN8	Q16644;P49137;Q96PN8;O43930;P51817	MAPK2_HUMAN;MAPK3_HUMAN;PRKX_HUMAN;PRKY_HUMAN;TSSK3_HUMAN	MAPKAPK2;MAPKAPK3;PRKX;PRKY;TSSK3	Putative serine/threonine-protein kinase PRKY	579.872	230.493		402.904			
O60216	O60216	RAD21_HUMAN	RAD21	Double-strand-break repair protein rad21 homolog	528.424	641.921		708.828	659.347	740.823	587.257
O60220	O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	753.388	624.234	900.026	780.008	1009.33	965.287	819.096
O60231	O60231	DHX16_HUMAN	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	266.767	197.111			214.611		
O60232	O60232	ZNRD2_HUMAN	ZNRD2	Protein ZNRD2	547.567	820.185		669.345	778.127		983.902
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	386.176	366.541		313.846	243.64		343.371
O60264	P28370;O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	959.37	1088.04	1991.08	1217.02	1281.18	1257.86	981.948
O60271	O60271;Q9UPT6	JIP4_HUMAN	SPAG9	C-Jun-amino-terminal kinase-interacting protein 4	835.353	649.662		969.117	398.11		956.031
O60306	O60306	AQR_HUMAN	AQR	RNA helicase aquarius	746.287	585.234		741.774	321.601	774.264	209.937
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	623.087	924.697		780.815	676.188	755.63	1126.21
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	425.297	418.969		324.191	600.898	204.178	171.325
O60343	O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4	273.676	458.825		389.325			
O60427	O60427	FADS1_HUMAN	FADS1	Acyl-CoA (8-3)-desaturase	1525.23	1487.95	2219.36	1577.53	1197.15	1717.04	1380.65
O60437	O60437	PEPL_HUMAN	PPL	Periplakin	2690.24	2554.81	3373.57	3047.23	3914.59	1970.96	2865.8
O60443	O60443	GSDME_HUMAN	GSDME	Gasdermin-E		153.689		301.258	582.14	294.604	165.48
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	1093.06	1367.53	1722.16	1074.4	1419.3	724.982	1210.53
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	1072.4	1033.31	2128.79	989.846	1134.91	1048.46	922.483
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	335.996	315.88		583.965	258.784	590.971	404.983
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	3278.02	2775.1	3726.63	3166.21	3081.51	2917.57	3211.82
O60524	O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF	144.62	460.222		357.588	623.645	259.288	308.183
O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	361.802	442.137	1513.72	664.428	536.56	667.089	605.414
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	1733.97	1802.75	1914.32	1681.45	1843.85	2151.69	1984.66
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	1002.41	1203.86	1011.97	1224.09	1106.1	979.171	1825.82
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	106.233	302.62	694.103	477.494		350.831	
O60645	O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	568.844	329.475	905.934	254.608	303.662	610.065	
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	1219.14	1127.03	2115.17	1274.2	1236.45	1240.14	1101.73
O60684	O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	2230.66	2068.2	1476.27	2260.38	2214.66	1897.88	1894.1
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	2176.32	2278.01	2607.02	2607.12	2168.53	2113.83	2474.64
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1	930.282	1170.05	1475.37	957.657	1147.9	1062.23	1067.67
O60725	O60725	ICMT_HUMAN	ICMT	Protein-S-isoprenylcysteine O-methyltransferase	271.277	158.104		628.627			296.534
O60739;P41567	O60739;P41567	EIF1B_HUMAN;EIF1_HUMAN	EIF1;EIF1B	Eukaryotic translation initiation factor 1b	760.845	430.078		955.396	643.053	626.302	600.156
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	499.027	572.123	691.063	726.097	702.943	482.521	386.964
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	1184.35	1341.87	1032.53	1360.62	1593.29	1354.74	1568.09
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	825.521	988.637		1008.49	881.949	694.348	1093.77
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb protein 1	353.434					167.502	
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880	P23527;Q99880;Q99879;Q16778;Q96A08;Q8N257;Q93079;P58876;O60814;Q99877;P62807;P06899;Q5QNW6;P57053;P33778	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN	H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	Histone H2B type 1-K	293667	316849	297043	297599	293711	296088	311990
O60828	O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	1352.64	1541.2		1586.9	1417.82	1438.23	1663.93
O60831	O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	875.249	1456.14	1289.51	1849.36	1097.41	1609.62	1762.05
O60832	O60832	DKC1_HUMAN	DKC1	H/ACA ribonucleoprotein complex subunit DKC1	1142.42	978.109	1664.16	921.921	1043.4	991.749	852.62
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B	676.485	990.656	770.073	810.951	948.891	621.282	1163.8
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	2960.41	2715.25	2416.11	2290.1	2321.69	2093.29	2398.66
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	1650.54	1567.45		1169.39	1441.13	1313.64	1460.54
O60885	O60885	BRD4_HUMAN	BRD4	Bromodomain-containing protein 4	199.96				305.011		
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA	3048.19	2932.65		2841.15	3024.69	2481.86	3438.49
O60921	O60921	HUS1_HUMAN	HUS1	Checkpoint protein HUS1	310.178					250.084	
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	1358.83	1963.94	2529.17	1241.55	1484.04	1454.06	1218.24
O60934	O60934	NBN_HUMAN	NBN	Nibrin	431.211	241.522					
O60936	O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	201.56	423.925		613.224	746.161	486.285	475.009
O75027	O75027	ABCB7_HUMAN	ABCB7	Iron-sulfur clusters transporter ABCB7, mitochondrial	403.77	159.936				180.983	
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	6595.57	7041.98	5943.52	6120.3	6521.44	6821.74	7500.15
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2	672.151	551.517		777.522	664.677	528.94	730.96
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3	1640.71	1824.3	2358.55	1517.79	1650.82	1550.8	2162.47
O75150	O75150	BRE1B_HUMAN	RNF40	E3 ubiquitin-protein ligase BRE1B	415.453	255.895		582.831	566.415	501.284	606.218
O75152	O75152	ZC11A_HUMAN	ZC3H11A	Zinc finger CCCH domain-containing protein 11A	333.435						
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	681.252	438.338	812.554	925.623	693.075	888.484	459.122
O75165	O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13	406.172				364.381		291.336
O75170	O75170	PP6R2_HUMAN	PPP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2	21599.5	21158.9	17292.8	18815.3	20926.8	25216.3	22348.3
O75190	O75190	DNJB6_HUMAN	DNAJB6	DnaJ homolog subfamily B member 6	502.762	214.367		347.464			377.703
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	790.429	672.89	1375.14	878.949	969.914	1004.58	1093.86
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	566.735	504.377	540.497	1211.16	613.078	904.298	520.8
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	776.819	687.489		521.749	900.622	833.323	851.179
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1		318.935			263.383	222.189	
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2				739.035	594.899	625.712	
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	4247.74	3864.03	2825.35	2899.17	3401.15	3389.79	3230.03
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	4409.8	4953.68	5067.9	4859.04	4550.8	4512.82	4306.23
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1	722.712	750.317		844.207	861.452	790.463	606.804
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B	869.714	941.782		790.127	531.95	1056.55	848.426
O75352	O75352	MPU1_HUMAN	MPDU1	Mannose-P-dolichol utilization defect 1 protein	493.568	518.487	1093.73	815.089	502.863	691.685	434.909
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	9895.04	10213.1	6789.87	9217.25	10105	9792.34	10464.3
O75368	O75368	SH3L1_HUMAN	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein	2559.36	2087.71	2508.77	2150.17	2462.06	2171.66	2207.46
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	8893.21	8804.87	7976.87	8981.2	8632.4	8399.76	8740.17
O75380	O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	267.385	561.264		605.363	454.78		299.788
O75381	O75381	PEX14_HUMAN	PEX14	Peroxisomal membrane protein PEX14	125.206	242.593			271.352	314.948	447.118
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	5847.12	5104.16	4365.28	4871.46	5604.27	5378.73	5635.98
O75391	O75391	SPAG7_HUMAN	SPAG7	Sperm-associated antigen 7	494.868	320.999		432.299	297.951	294.758	
O75394	O75394	RM33_HUMAN	MRPL33	39S ribosomal protein L33, mitochondrial	138.947	88.3015				164.055	
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	3904.09	4030.03	3392.11	4308.18	3876.15	3554.99	3829.3
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	584.504	768.454		697.665	561.41	365.657	601.386
O75410	O75410	TACC1_HUMAN	TACC1	Transforming acidic coiled-coil-containing protein 1					232.279		
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2	644.742	682.91		637.47	845.841	739.774	636.542
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	1561.72	1145.53	1286.51	1420.93	1020.04	1327.61	1652.24
O75438	O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	597.219	567.705		521.156		438.916	286.747
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	917.723	672.632	1193	1026.41	768.915	841.789	901.3
O75444	O75444	MAF_HUMAN	MAF	Transcription factor Maf		494.546					
O75462	O75462	CRLF1_HUMAN	CRLF1	Cytokine receptor-like factor 1		259.847		281.046			390.228
O75475	O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein	1302.13	1435.62	2107.94	1359.46	1302.34	1301.79	1409.44
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	370.819	363.481		409.873	325.966	494.78	508.159
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	412.11	815.457	1803.61	984.357	1024.69	968.929	845.658
O75494	O75494	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10	570.094	931.376		819.929	445.291	616.25	795.634
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	485.916	447.11		384.105	613.961	523.794	528.307
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	8955.48	8572.72	10761.7	8659.02	9285.01	9102.96	10340.8
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	2244.7	2312.12	2741.5	2529.46	2267.83	2595.61	2720.01
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	916.525	955.658	1852.18	903.205	962.207	1034.94	1023.77
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A		296.109			320.915	344.769	
O75607	O75607	NPM3_HUMAN	NPM3	Nucleoplasmin-3	380.104	708.032		433.859	553.141	650.31	320.259
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	1476.56	1287.29	1609.31	1520.58	1414.87	1749.9	1081.8
O75616	O75616	ERAL1_HUMAN	ERAL1	GTPase Era, mitochondrial	603.219	583.379		716.663	863.925	756.124	463.715
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	1381.36	1341.35	2179.64	1289.97	1358.76	1288.77	1586.88
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	288.413	547.362		410.681	429.797		509.891
O75674	O75674	TM1L1_HUMAN	TOM1L1	TOM1-like protein 1	257.542	432.139		777.386	387.951	313.859	
O75676	O75582;O75676	KS6A4_HUMAN	RPS6KA4	Ribosomal protein S6 kinase alpha-4		336.658			593.869		190.525
O75691	O75691	UTP20_HUMAN	UTP20	Small subunit processome component 20 homolog	309.242	230.669		537.175			
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155	1111.41	1047.97		1111.45	1256.83	1013.04	1098.75
O75695	O75695	XRP2_HUMAN	RP2	Protein XRP2	425.281	255.513			290.235		
O75717	O75717	WDHD1_HUMAN	WDHD1	WD repeat and HMG-box DNA-binding protein 1	450.741	358.571		342.485	246.131	638.676	451.82
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	1616.95	1969.27	2929.56	1984.83	1696.85	1631.06	1785.41
O75746	O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	652.206	475.211		174.049	756.441	583.552	612.812
O75781	O75781	PALM_HUMAN	PALM	Paralemmin-1		444.423		480.311	611.362		
O75787	O75787	RENR_HUMAN	ATP6AP2	Renin receptor	199.656						
O75792	O75792	RNH2A_HUMAN	RNASEH2A	Ribonuclease H2 subunit A	379.464	186.436		496.327	573.857		203.165
O75794	O75794	CD123_HUMAN	CDC123	Cell division cycle protein 123 homolog	914.418	658.421			388.037	689.71	416.378
O75817	O75817	POP7_HUMAN	POP7	Ribonuclease P protein subunit p20				145.659		328.821	
O75818	O75818	RPP40_HUMAN	RPP40	Ribonuclease P protein subunit p40	142.719					241.766	
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	1545.59	1824.87		1313.21	1570.77	1548.67	1684.6
O75822	O75822	EIF3J_HUMAN	EIF3J	Eukaryotic translation initiation factor 3 subunit J	1432.37	1302.01	2028.3	1319.41	1393.06	1449.93	1874.5
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3	3192.96						
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10	600.452	533.24		510.736	628.584	738.179	783.519
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog	919.587	1021.46		1056.88	952.942	1299.85	838.111
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	3603.21	3766.49	3139.35	3627.01	3909.92	3751.4	3652.4
O75880	O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial	1008.49	642.081		1530.26	1151.36	970.053	854.732
O75909	O75909	CCNK_HUMAN	CCNK	Cyclin-K		643.526		620.424	527.987		
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	1322.34	1334.48	1826.36	1316.96	1162.69	1460.55	1385.1
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	440.543	254.989		427.436	353.673	382.539	315.483
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3	461.424	2241.17		1586.22		256.888	1052.17
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	1417.54	1296.48	1469.04	1378.77	956.977	1322.33	1383.4
O75940	O75940	SPF30_HUMAN	SMNDC1	Survival of motor neuron-related-splicing factor 30	516.429	547.655	561.991	627.765	288.559	499.998	506.041
O75947	O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	3118.21	3464.58	2366.06	2738.78	3297.51	2753.54	3022.89
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	573.349	598.995		547.368	589.101	846.96	515.99
