Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
O43172	O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	607.931		168.576	336.354		536.766	960.657	943.97	309.337			276.129	220.244	313.973			489.07	380.091	362.065	365.216
O43175	O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1075.57	1155.18	1535.94	1732.66	640.066	1994.73		638.346	1458.27			1164.34		357.544	2169.92	1533.05	938.494	360.905	1154.92	1076.14
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	689.426		116.872	204.814			375.147		797.506	481.913				520.501			406.03	556.354		
O43237	O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2			284.521	360.697		445.138			195.255			491.551			531.088		216.072		208.43	
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	360.536		1030.11	777.85		796.359		353.42	1049.15	740.502		701.016	406.139	1039.89	938.254	798.015	512.553	522.626	898.861	976.748
O43252	O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1			179.529	311.896					180.18										460.536	1229.77
O43286	O43286	B4GT5_HUMAN	B4GALT5	Beta-1,4-galactosyltransferase 5															347.23		238.658	183.891		244.615
O43290	O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1			218.039	369.943					330.233					207.47			346.897		166.385	
O43292	O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein									288.302					288.003			244.241	350.205	303.353	
O43294	O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein					1756.86	766.739		1406.71		1440.04		2532.87					807.281	1169.35		
O43301	O43301	HS12A_HUMAN	HSPA12A	Heat shock 70 kDa protein 12A				436.948																
O43324	O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1			331.461	272.762		311.117		234.916	445.243						263.032	401.772	192.16		174.856	141.497
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1606.73		1410.16	1458.42		1502.7	1440.48	2501.28	1679.41	1919.47		1576.04	2105.4	1378.18	1442.16	710.387	2001.99	1323.22	1248.94	1580.59
O43395	O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	216.125		119.598	279.917				338.108				447		355.442			129.645		204.62	304.268
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1		638.453	1161.7	1975.83	585.466	1815.94		797.314	1010.65			1746.02	592.054		1572.78	997.5	1265.89		920.346	1108.86
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	259.657	408.432	1422.17	1570.94		1180.4	399.749	805.737	1350.86	243.42		2802.88	560.732	760.382	1439.21	811.838	1228.13	509.151	1178.1	1116.29
O43402	O43402	EMC8_HUMAN	EMC8	ER membrane protein complex subunit 8	512.709		209.033	190.104													458.703		453.929	
O43447	O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H			295.044	233.012		336.572			236.343				458.376						385.783	132.001
O43488	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2									319.471											
O43491	O43491	E41L2_HUMAN	EPB41L2	Band 4.1-like protein 2			333.106	193.066		742.359		493.415								292.496	114.665	283.978	645.524	364.874
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	386.295		369.954	381.464		216.924		749.863	350.028	423.978				472.359	654.073		251.021	296.666	635.768	
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3			275.027	664.694		252.721				450.669										
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a			146.31	707.052		348.292			250.558			556.881			211.347		520.927		329.817	297.481
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207			353.348	416.99		324.571	141.715		861.796			546.858			201.224		406.678			
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3				795.221					288.265			441.248	479.721	481.829	331.242	107.66	746.694	271.264	739.943	808.686
O43684	O43684	BUB3_HUMAN	BUB3	Mitotic checkpoint protein BUB3			545.36	482.334		901.835	109.956	645.759	528.491			874.767	811.273	365.145	1042.72		434.961		510.614	654.835
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	1198.52	1000.17	3807.62	3729.01	1025.33	3581.56	1257.9	967.813	5401.31	865.414		2659.61	1753.01	962.302	3282.51	2422.88	3281.67	856.064	3562.3	2790.31
O43747	O43747	AP1G1_HUMAN	AP1G1	AP-1 complex subunit gamma-1			167.027	465.467								739.321					272.895		444.836	
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	407.911		224.669	319.3									807.948		223.692					308.272
O43768;P56211	O43768;P56211	ARP19_HUMAN;ENSA_HUMAN	ARPP19;ENSA	Alpha-endosulfine			164.532			275.8			155.398											181.875
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic	202.844		290.779	586.69		437.537			224.195			437.412		418.463		455.971	303.516		237.92	
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib	776.762		690.953	532.427	680.244	470.999	713.572	848.391	1020.38	913.861		865.926	1128.35	831.682	671.415	646.676	970.176	2716.52	847.841	626.45
O43809	O43809	CPSF5_HUMAN	NUDT21	Cleavage and polyadenylation specificity factor subunit 5	639.256		925.792	732.999		807.116	1731.01	1710.39	909.749	1836.62		648.76	1533.89	1399.4	900.245	951.377	514.246		667.463	873.739
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1			376.735	497.333		529.633			522.089	376.761		540.894	53.9636		388.317		474.075		350.673	
O43818	O43818	U3IP2_HUMAN	RRP9	U3 small nucleolar RNA-interacting protein 2	899.094		445.329	249.313		745.859	326.32	669.174	140.839			219.911	325.035	737.924						246.581
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	422.949		433.906	444.999				685.156					586.849	295.32			166.012	560.224	298.636	
O43847	O43847	NRDC_HUMAN	NRDC	Nardilysin			181.596						282.125			592.363			399.871		194.225			256.709
O43852	O43852	CALU_HUMAN	CALU	Calumenin	1139.8		761.439	973.739		1222.18	1033.76	1108.45	1318.82	891.326		952.663	2108.2	3153.35	577.272	492.255	1397.34	2751.7	1449.05	1934.62
O43865	O43865	SAHH2_HUMAN	AHCYL1	S-adenosylhomocysteine hydrolase-like protein 1			770.145	1129.79		824.776		381.342	1093.12			535.667	1672.51						808.642	1238.64
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	81.0485		126.884	183.977		307.529			183.97								241.559	461.919		87.1298
O60256;Q14558	O60256;Q14558	KPRA_HUMAN;KPRB_HUMAN	PRPSAP1;PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2			320.648	607.294					275.802			237.074					326.48		359.34	
O60264	P28370;O60264	SMCA5_HUMAN	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	338.997		478.19	378.545		460.898	346.142	883.275		705.976			970.538	409.426	545.736		630.479	413.892	258.065	371.657
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	515.665		248.61	452.646				1559.53		638.108			721.095		539.647		582.111	693.922		1301.73
O60437	O60437	PEPL_HUMAN	PPL	Periplakin	65.6379	411.196			321.935	464.36		853.709	443.312	616.025		454.194	387.659	185.394		544.303	123.549	143.282		850.049
O60462	O60462	NRP2_HUMAN	NRP2	Neuropilin-2								513.215												
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4			137.616														134.212	263.007	172.894	265.575
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3			561.055	561.255		724.348			341.962	576.601		386.696			702.65		491.998	171.955	803.984	635.896
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase			330.083	759.062		407.136			993.293			978.789			403.569	204.259	455.507	421.823	527.576	597.177
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	584.354		687.951	1001.99		1004.07	948.765	799.074	1052.35	889.845		1266.34	611.108	1072.25	752.756		759.139	347.451	889.609	503.073
O60524	O60524	NEMF_HUMAN	NEMF	Ribosome quality control complex subunit NEMF						485.232			146.798					557.603						
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	616.262		334.819	516.994		433.379	439.522	538.219	222.182	288.333			318.957	596.184	188.104		316.579	255.808	414.328	240.364
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F				530.78			614.828		357.35	1177.4		574.86	950.607				719.884	1053.4		
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3			1481.68	1053.36		1040.34	508.067		1396.87			1513.35	3721.35	677.922	1135.99	1033.74	1317.24	361.85	1323.78	1744.52
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	139.577	115.325	1054.88	898.427		1487.3			1130.12			1477.93			924.673	1170.63	770.691		1187.1	1470.42
O60716	O60716	CTND1_HUMAN	CTNND1	Catenin delta-1			288.059	205.744		390.468			194.509				717.432	232.995	665.298	330.662	408.671	671.633	387.141	
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2		335.93	372.521	613.979		241.115			339.325			329.189			477.56	501.574	409.076	45.3878	567.47	225.156
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	476.68		201.881	696.592				1328.69	531.832	520.719		354.413		363.719	371.045			364.63	324.152	261.29
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115			403.129	673.739		583.125			748.661	244.457		290.674		249.962	487.846		467.15		505.932	388.826
O60814;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879	P23527;Q99880;Q99879;Q16778;Q96A08;Q8N257;Q93079;P58876;O60814;Q99877;P62807;P06899;Q5QNW6;P57053;P33778	H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F_HUMAN	H2BC12;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	Histone H2B type 1-K	234410	5501.21	176951	154678	6897.73	251132	219188	198952	150703	193224		172467	226509	149942	194935	5035.99	267544	106134	151104	172173
O60826	O60826	CCD22_HUMAN	CCDC22	Coiled-coil domain-containing protein 22																	417.981		233.638	501.02
O60828	O60828	PQBP1_HUMAN	PQBP1	Polyglutamine-binding protein 1	520.576		225.577	438.273		620.493				376.109		1025.96	128.281		293.065		483.565	122.144	462.386	166.641
O60831	O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	1378.88		1006.85	373.039		595.939	373.595	633.65	911.009	802.011		584.634	763.548	1571.68	617.545		1302.13	2936.53	583.535	834.336
O60841	O60841	IF2P_HUMAN	EIF5B	Eukaryotic translation initiation factor 5B			317.376	405.395		246.8	195.732	355.768	218.366			451.055			473.127		337.83		691.518	307.311
O60869	O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1			272.181	159.801		410.132						528.778			493.352	228.244				
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2			230.768	230.004		302.757	564.062								429.023		352.313		795.568	434.416
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	246.585		1003.85	1041.19		696.624			610.046			864.151			1278.25		666.406		729.536	556.29
O75027	O75027	ABCB7_HUMAN	ABCB7	Iron-sulfur clusters transporter ABCB7, mitochondrial	351.1													183.161			198.469	195.25		
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	777.61	1143.31	4525.66	2862.19	861.395	2624.96	1319.61	1045.17	5103.04	1080.76		3676.84	1686.26	979.515	3776.99	3221.04	3447.26	805.125	3984.21	4206.08
O75116	O75116	ROCK2_HUMAN	ROCK2	Rho-associated protein kinase 2			241.828	413.055		238.69			257.734						255.835		478.03		516.455	663.178
O75131	O75131	CPNE3_HUMAN	CPNE3	Copine-3			455.225	420.919		835.142		366.596	600.965			556.295	554.639	326.156	486.431	510.309	575.309	173.878	732.544	553.907
O75165	O75165	DJC13_HUMAN	DNAJC13	DnaJ homolog subfamily C member 13									421.793					399.007	197.249		258.319	194.975	212.504	
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	1132.39	1128.13	736.757	609.045	1632.54	878.463	1671.02	1027.21	909.259	855.772		1476.34	1139.93	638.233	1114.97	1583.03	488.797	684.305	714.047	1532.28
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	521.593		408.191	519.35		267.461	750.919		499.008	528.938		350.119		476.453	368.324		580.554	964.059	268.263	486.233
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial				363.088										190.704			329.977	513.067		
O75312	O75312	ZPR1_HUMAN	ZPR1	Zinc finger protein ZPR1			44.075			263.671			86.447						236.063				145.117	
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	514.751		205.307	449.008		297.174	461.021	467.85	505.062	633.763		692.171		765.586			1412.72	858.258	431.236	1385.17
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6			245.465	151.459		255.459			165.62								342.818			
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	417.017		1123.93	1050.53		1093.26			931.286			629.996		237.887	1238.86	1009.97	874.308		1066.56	954.642
O75348	O75348	VATG1_HUMAN	ATP6V1G1	V-type proton ATPase subunit G 1			334.549	345.924		403.825		238.657		239.93				364.58			536.643	193.805	410.069	
O75351	O75351	VPS4B_HUMAN	VPS4B	Vacuolar protein sorting-associated protein 4B			740.599	964.718		828.066			852.1			729.494			705.68		784.167		718.296	736.932
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	2719.04		1301.13	2759.52		1910.4	2222.6	3424.58	2816.45	4341.48		1176.24	3038.82	3769.42	1311.12	1743.48	4741.18	6519.82	1362.13	2533.87
O75368	O75368	SH3L1_HUMAN	SH3BGRL	SH3 domain-binding glutamic acid-rich-like protein			353.882	372.966		350.569			535.867	358.858		347.061			474.616	455.77	306.107		358.235	515.801
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	459.99	622.993	723.258	973.32	1002.29	722.619	674.654	607.696	735.674	612.518		818.539	605.708	784.922	779.151	792.421	850.323	501.14	974.728	636.937
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	3394.38		1771.91	4560.41		1820.71	3318.43	2583.86	3358.89	3322.25		759.53	3595.75	2055.19	2048.48		3173.43	2538.9	1510.7	2481.17
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b	2436.41		1117.88	2946.05	580.84	1996.18	1397.01	1089.33	1323.56	2168.01		1103.88	2926.11	3079.22	1705.28	673.039	2593.74	3258.08	1245.41	2412.08
O75400	O75400	PR40A_HUMAN	PRPF40A	Pre-mRNA-processing factor 40 homolog A	606.922		377.818	290.272		1085.25	172.137		360.192	354.148			456.964	561.799	276.278		330.293	226.257	286.215	655.318
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A			854.183	846.753		536.132			597.73			704.232			570.647	1043.31	984.191		755.776	729.056
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	431.293		276.283	118.006			731.482		790.365	247.387		231.65	207.721	785.081			401.807	528.798		
O75475	P51858;Q7Z4V5;Q9Y3E1;O75475	PSIP1_HUMAN	PSIP1	PC4 and SFRS1-interacting protein			267.187	467.68		395.982			387.748	602.369			434.033	370.875	331.957		505.581	144.33	423.583	687.888
O75477	O75477	ERLN1_HUMAN	ERLIN1	Erlin-1	306.317													277.25					286.428	
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	218.369									328.832				297.008						
O75494	O75494;Q8WXF0	SRS10_HUMAN	SRSF10	Serine/arginine-rich splicing factor 10			148.973	164.436													536.214			
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	1771.62		704.694	1315.38		2247.03			2265.8	1561.97		696.825	2152.59	1579.33			882.395	1246.39	1950.31	612.123
O75533	O75533	SF3B1_HUMAN	SF3B1	Splicing factor 3B subunit 1	420.402		353.68	221.066		658.536	219.506	396.167		964.267			384.477				510.007	348.055	423.417	361.273
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	298.618		411.433	513.338		347.866		592.497	748.696			1019.81			715.524	508.968	409.583		688.705	595.016
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	227.941		476.078	931.571		626.309	614.642		986.967			1213.35		609.653	614.883	530.999	522.972	438.054	506.3	342.014
O75643	O75643	U520_HUMAN	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase	1010.41		626.119	638.832		600.255	821.245	544.173	833.562	961.836		384.619	954.572	817.487	590.935		762.656	543.92	400.802	484.67
O75688	O75688	PPM1B_HUMAN	PPM1B	Protein phosphatase 1B				197.134					227.126								72.8074			
O75694	O75694	NU155_HUMAN	NUP155	Nuclear pore complex protein Nup155						330.259	819.972	320.544				554.121	312.139	227.104			293.171		190.124	357.277
O75718	O75718	CRTAP_HUMAN	CRTAP	Cartilage-associated protein	442.015		249.841	289.229		319.372		630.764	645.273	785.197			497.285	933.058	378.009		644.871	1087.57	426.9	586.82
O75746	Q9UJS0;O75746	CMC1_HUMAN	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	767.175		414.635	656.07		799.189	705.831	357.887	356.957	1323.54			970.114	341.413	586.64		482.363	852.912	658.254	542.559
O75828	O75828	CBR3_HUMAN	CBR3	Carbonyl reductase [NADPH] 3			1082.45			433.399	258.9		720.923	345.559		710.74					445.591		1488.49	
O75832	O75832	PSD10_HUMAN	PSMD10	26S proteasome non-ATPase regulatory subunit 10			405.493	167.395		407.681			202.461			160.482			507.728		149.463			
O75844	O75844	FACE1_HUMAN	ZMPSTE24	CAAX prenyl protease 1 homolog			562.596	461.622		250.416		373.95	161.571			423.09		614.832	305.34		471.677	538.109		625.768
O75874	O75874	IDHC_HUMAN	IDH1	Isocitrate dehydrogenase [NADP] cytoplasmic	613.887		1709.08	4652.95	884.23	1799.25	957.335	1061.74	2136.94	1137.12		2196.29	700.897	742.78	2156.94	1353.91	1422.04	348.941	1989.87	2029.9
O75880	O75880	SCO1_HUMAN	SCO1	Protein SCO1 homolog, mitochondrial				370.916						331.076							173.887	400.528		220.548
O75891	O75891	AL1L1_HUMAN	ALDH1L1	Cytosolic 10-formyltetrahydrofolate dehydrogenase				680.601																
O75915	O75915	PRAF3_HUMAN	ARL6IP5	PRA1 family protein 3	1117.17		254.776	262.091		365.816	491.051		717.389			488.033	466.823	411.924			523.081	1270.86	427.692	531.282
O75934	O75934	SPF27_HUMAN	BCAS2	Pre-mRNA-splicing factor SPF27	872.092		278.818	311.03										306.467			204.008	207.228	207.826	340.665
O75935	O75935	DCTN3_HUMAN	DCTN3	Dynactin subunit 3			361.87	53.0718		369.183											324.149			390.798
O75937	O75937	DNJC8_HUMAN	DNAJC8	DnaJ homolog subfamily C member 8	2388.3	1568.58	876.716	1601.95	1511.84	1806.64	3802.11	3206.7	1832.72	3739.62		1203.77	2009.13	1475.32	2486.82	2215.21	1648.33	1464.48	2407.54	1653.53
O75947	O75947	ATP5H_HUMAN	ATP5PD	ATP synthase subunit d, mitochondrial	2186.82		896.775	1364.69		1229.09	1328.43	1726.15	1526.59	1504.94		1248.03	1668.66	2767.52	997.204		2902.66	3219.1	1093.32	2034.37
O75955	O75955	FLOT1_HUMAN	FLOT1	Flotillin-1	450.153		323.582	299.323		318.384	777.161	441.723	333.643	541.982		486.889	693.605	790.801	136.088		552.44	679.232	352.426	411.924
O75964	O75964	ATP5L_HUMAN	ATP5MG	ATP synthase subunit g, mitochondrial	1501.86	353.548	784.124	1450.55		926.081	1372.07	856.664	661.325	706.694		494.932	1221.38	1142.52	705.412		1705.52	2680.54	516.827	771.883
O76003	O76003	GLRX3_HUMAN	GLRX3	Glutaredoxin-3			684.668	505.512		1242.57			658.601			223.158			488.463		402.087		412.692	904.828
O76021	O76021	RL1D1_HUMAN	RSL1D1	Ribosomal L1 domain-containing protein 1	1501.58		676.763	1041.64		851.895	1223.91	975.974	531.38	1357.16		696.544	565.571	1138.63			881.209	605.635	574.106	1019.78
O76024	O76024	WFS1_HUMAN	WFS1	Wolframin			56.9934														287.259	389.958		367.425
O76031	O76031	CLPX_HUMAN	CLPX	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial			201.28					329.163						636.012			460.928	521.069	265.064	524.748
O76070	O76070	SYUG_HUMAN	SNCG	Gamma-synuclein				845.888																
O76094	O76094	SRP72_HUMAN	SRP72	Signal recognition particle subunit SRP72			270.155	361.922		104.144			415.749								298.062		127.334	411.176
O94760	O94760	DDAH1_HUMAN	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1			177.519	208.272		380.798			200.539								367.944		568.835	290.213
O94776	O94776;Q9BTC8;Q13330	MTA2_HUMAN	MTA2	Metastasis-associated protein MTA2			487.679			417.348			286.017					314.985	291.021		122.799			240.001
O94826	O94826	TOM70_HUMAN	TOMM70	Mitochondrial import receptor subunit TOM70	819.088		270.945	447.914		349.847	584.332		324.754	737.037			931.932	444.744	508.063		379.402	690.788	394.689	488.708
O94851	O94851	MICA2_HUMAN	MICAL2	[F-actin]-monooxygenase MICAL2																		294.133		
O94855	O94855	SC24D_HUMAN	SEC24D	Protein transport protein Sec24D			649.339	230.624		262.545			481.944			496.716			453.934		496.794		428.267	218.034
O94874	O94874	UFL1_HUMAN	UFL1	E3 UFM1-protein ligase 1	787.481		486.37	516.848		370.237	560.657	1036.52	542.631	938.106			1062.25	881.314	583.828		626.778	587.009	821.751	575.166
O94905	O94905	ERLN2_HUMAN	ERLIN2	Erlin-2	803.823		474.191	821.994		440.097	346.695	612.152	423.342	866.007		1243.43	940.351	872.319			673.888	1046.93	626.805	502.037
O94906	O94906	PRP6_HUMAN	PRPF6	Pre-mRNA-processing factor 6	806.714		306.875	349.695		413.928		474.175	375.821	1636.2			567.51	669.947			526.109	375.843	160.609	445.898
O94925	O94925	GLSK_HUMAN	GLS	Glutaminase kidney isoform, mitochondrial	645.879		125.734	324.836		510.561				1262.27				276.247			447.981	870.269	420.338	300.843
O94979	O94979	SC31A_HUMAN	SEC31A	Protein transport protein Sec31A	227.603		1071.54	1238.53		1007.2			958.414			981.391			1162.68	929.405	1204.29		1067.61	1326.05
O95168	O95168	NDUB4_HUMAN	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	779.859		441.639	263.34		463.603			827.544	481.946		362.526	786.656	269.412	296.567		690.465	1135.04	260.319	362.729
O95169	O95169	NDUB8_HUMAN	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial			285.082											327.987				221.431		
O95197	O95197	RTN3_HUMAN	RTN3	Reticulon-3				484.358		439.131		612.123									328.648	262.402		298.596
O95202	O95202	LETM1_HUMAN	LETM1	Mitochondrial proton/calcium exchanger protein	1939.63		522.006	1184.65		402.938	1133.87		765.085	1044.44		1308.66	955.515	1003.01	384.62		914.964	1800.8	821.936	943.285
O95292	O95292	VAPB_HUMAN	VAPB	Vesicle-associated membrane protein-associated protein B/C	589.824		458.283	676.08		624.314	442.482			542.486		471.546		452.499	373.897		496.695	469.939	281.647	721.941
O95298	O95298	NDUC2_HUMAN	NDUFC2	NADH dehydrogenase [ubiquinone] 1 subunit C2			279.903			178.658		106.44									357.922	484.365		608.635
