Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
P13929	P13929	ENOB_HUMAN	ENO3	Beta-enolase																						58894.7							41895.8		32903.2		31535.7						95155.7	78362.8								62.3026	68.9093	104.153	183.872	175.824
P13984	P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2				1924.26	2479.24		2649.57	2587.79		5355.35	3777.63	1994.36	2655.15			2735.95			3797.99			2146.3	4015.62	1674.58	2817.01		2928.42	4676.01	3556.11	3683.55	4561.77	1887.31						4833.18	2256.68	4609.5	1281.17			2419.43		5814.8		2831.66	3113.78	2616.18	1991.11	2654.69
P13987	P13987	CD59_HUMAN	CD59	CD59 glycoprotein			1227.89	1074.25							1107.83										1517.58																										11400.7	20400.2	7038.07	41955.4	20083.1	49221.6
P13995	P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	2661.44			1475.23	3255.36						9270.44	3764.51				3898.92			2934.62	3442.17		3087.93	3923.36	4566.17	8129.56	15536.7	3642.32	5053.21	6389.58	5943.43		3286.06		6082.13	8935.79	7370.58	980.316	8000.36	5846.09	3118.93	6735.95	3946.28	5604.96	2842.57	3910.98	6043.17		2162.95	2341.9	2797.93	2928.13	2893.38
P14136	P14136	GFAP_HUMAN	GFAP	Glial fibrillary acidic protein	29544.3	22394.9	51218.3	16869.4		23305.2	317.081	429012	18482.4	13061.9	58874.6	9481.85	16756.5	54905.1	49590.1	9755.81	54809.1	55128.8	22242.8	25213.2	955256	29901.6	20535.1	16634.6	98748.2	27667.5	2.83578e+06	21342.2	19297.3	24866.2	28619.5	669471	39684.7	36646.7	14640.6	55086.4	17502.1	56940.9	29072.2	8022.73	30507.2	20119	19642	39097.1	9698.4	14344.7	22571.3	2945.02	5120.18	1476.37	2575.9	5110.09
P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	12054.4	64546.3	17185	85486.3	49036.6	15273.5	99334.7	51765.5	37572	78712.6	7955.96	61839.8	65422.3	25523.2	35088.5	78946.9	13403.4	60489.8	36686.8	11350.4	15997.1	81717.6	51145.8	82380.1	9933.32	7182.73	80194.4	32688.6	78122.4	36271.2	20917.9	65713.1	13994.3	9107.76	15234.2	9233.97	153029	60808.9	64376.2	86053.7	40897.3	7516.48	33463.2	36440.4	73577.8	72876.8	29437.7	170746	95303.6	184611	103943	203500
P14209	P14209	CD99_HUMAN	CD99	CD99 antigen	4582.1	4845.37		5123.74	6388.96	4392.67	12330.4	6652.04	5445.81	9895.22	10815.3	13509.3	5239.03			4099.74		8652.74	4289.56	8929.39	20391.4	6732.17	11126.2	9375.3	5990.95	4543.13	9001.45	7409.56	6842.09	14166.4	2927.09	7004.81		9482.58	4145.56	4568.17	18570.8	8541.55	11872.6	14020.7	10880.4	19858.2	8037.15	7583.13	11669.7	11031.5	13844.8	20963.5	18802.7	30589.2	28177.8	30915.3
P14314	P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	14026.8	13145.3	9918.4	21489.3	19247.2	18137.4	17775.8	11850.1	10902.9	25621.1	15522	21477	20647.2	4085.77	8829.22	20522.1		10332.6	16277.1	11162.3	19929.3	18616.8	12629.4	16820.4	22858	20889.3	15624.3	16224.6	16789.4	11990.9	16470.6	18262.8	16739.2	18430	23004.7	7621.94	23363.4	17534	19447.5	13694.2	26563.2	19052.5	15184.1	17410.7	24888.4	19340	10871.4	45619.5	17086.7	45375.9	30813.7	44224
P14324	P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase		3009.16		5045.03	3025		4698.05	4263.85	4391.73	4899.52	2655.98	2274.66	4725.81			4185.61		1784.55	5492.51	2195.61		3506.13	8843.45	9121.57	2143.92	3458.98	5391.64	6482.57	5040.94	13460.9		10077.5			5257.76		7616.38	4688.13	10683	12466.8	5472.51		6641.29	6968.03	8351.98	8270.08	4969.79	4528.13	6918.05	6462.58	5850.27	6342.07
P14373	P14373	TRI27_HUMAN	TRIM27	Zinc finger protein RFP																																																533.013	725.55	618.003	583.56	711.544
P14384	P14384	CBPM_HUMAN	CPM	Carboxypeptidase M									3524.62																																		2467.75					763.708	808.838	602.211	631.432	573.901
P14406	P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	24964.9			15701.7	10550.6		9105.93	11191.6	5381.35	12936.2	29622	20877.8	15927.4	808.325		10182.8		8947.82	10756.4	14929.4	2314.4	22965.6	18197.8	15357.5	13835.2	26019.2	15686.4	10380	9607.08	15550.6		16977.1	2517.19	21173.1	14734.5	13469.1	8131.47	15977.5	11261.7	12893.8	19272.8	15777.9	9419.61	15734.9	19136.7	8690.39	15545.9	4537.75	4243.53	1649.64	3889.64	1050.17
P14415	P14415	AT1B2_HUMAN	ATP1B2	Sodium/potassium-transporting ATPase subunit beta-2																																																919.829	528.074	916.93	778.295	644.993
P14416	P14416	DRD2_HUMAN	DRD2	D(2) dopamine receptor																																																2378.57		2510.59	1365.42	
P14543	P14543	NID1_HUMAN	NID1	Nidogen-1																3538.78		2717.4																														733.315	793.015	980.13	921.348	994.537
P14550	P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	3876.59	2686.14		5370.56	1937.45	5332.17	5538.57	4100.98	4814.71	7136.92		4664.91	7123.36			2831.9		4608.6	4738.09	4135.92	9558.99	3901.67	4890.87	7593.2			5882.29	4364.73	5711.71	5212.23	5094.48	5163.68	4945.25	4308.24	8152.29		4151.76	7006.86	4066.33	4875.79	2670.34	2489.93	5324.6	3452.87	6525.42	3640.86	3180.48	3956.56	6006.88	4176.42	3718.19	4681.4
P14618	P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	97961.7	471317	164161	317081	257462	137693	696340	346676	385678	643189	84802.3	276900	518403	173014	208450	366891	149016	332808	321804	123458	134221	261419	240322	257355	61733.5	68328.1	276804	239143	316477	275654	116427	281214	121732	58150.7	99260.6	68962	357280	256367	209199	217849	171098	70954.4	196516	254378	345653	351176	237976	206117	194518	216361	207716	204747
P14621	P14621	ACYP2_HUMAN	ACYP2	Acylphosphatase-2																																															10185	1976.07	1128.83	2621.34	2034.86	2751.28
P14625	P14625;Q58FF3	ENPL_HUMAN	HSP90B1	Endoplasmin	71207.9	74907.9	65556.6	79441.6	74172.8	69022.5	64429.6	70222	81753.4	81916.7	63610.7	86685	74224.7	26876.7	23798.5	84828.4	16269.7	61485.2	83292.4	71233.9	138712	87872	56528.7	87558.1	111384	85897.6	64069.7	57485.3	59801.9	59466.4	39350.2	59471.2	48935.6	57260.7	56225.4	32449.4	77332.5	50748.3	80938.3	67560.7	91954.1	92856.9	54315.9	67026.9	67977	65362.5	116886	84652	71202.7	79674.1	83489.2	68266.4
P14635	P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1																3641.2																																297.466	370.698	647.422	661.07	664.537
P14649	P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B																													2051.12																			2857.71	2604.33	3356.82	2298.88	3334.81
P14678	P63162;P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	2153.79			2357.08	5697.68		3740.77			3100.61	2618.97	3250.86	3717.18		7793.75	4679.62			3115.01			5003.39	5582.62	5818.66	7665.34	2409.47	6261.38	4574.52	6274.45	7008.49	12477.5					2422.46		6870.09	6659.4	6982.28	5694.09	3770.96	4620.63	4680.44	4236.05		11961.2	11410.4	16028.3	14189.4	12643	14793.9
P14735	P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	10967.6	5143.25	18197.4	4468.36	8225.98	11507.2	3886.9	7092.64	9421.59	6443.15	3756.95	4164.5	5649.91	12795.7	12181.5	4288.98	32994.8	7981.55	10833.6	7873	8780.47	6541.49	7037.47	5224.01	6529.57	7400.37	7090.07	7678.77	6361.42	5761.9	12581.2	4227.9	9688.12	6174.11	12258.8	11511.4	5441.34	5954.19	5825.3	6826.91	10076.8	7784.72	7381.31	8545.29	4925	6016.19	3931.59	2178.86	2829.09	2421.91	2810.51	2219.19
P14854	P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	39130.2			1409.35							14426.6									13597.1					23663.6																							4667.3	2758.67	3793.73	2454.78	4693.59
P14859	P14859	PO2F1_HUMAN	POU2F1	POU domain, class 2, transcription factor 1																																																155.882	208.607	287.644	221.259	370.014
P14866	P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L		2595.44		9848.93	11020		8251.72	9789.74		10565.7	15615.5	10778.3	9255.25			12560.9			11611.8	16444.9		12760.9	13354.3	14091.9	16458.1	23658.6	15367.4	13096.9	14377	12018.5	3230.51	11512	1798.24	17099.1	11459	21167.2	2837.18	13390	10183.8	13463.2	14919.9	15338.8	11905.6	13077.7	12802.7	14976.1	13791.7	18169.7	19905.1	21282.1	20063.7	23101.1
P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	2067.57	4655.92	2921.48	8089.84	10083.8		7495.84	9165.3	5560.43	7722.26	2794.85	7971.63	7299.61	6247.57	2638.56	9336.38		7358.17	9413.45	6179.6	7437.73	7675.98	9910.44	9300.17	2441.61	1991.08	9086.11	8236.62	11368.3	11073.6		8921.12		3098.16	9392.31	2051.43	8292.77	8719.14	9900.74	8592.13	9059.56	2618.31	11057.3	11558.8	9414.14	10935.7	11113.3	7610.7	10128.9	8614.13	9275.89	9175.67
P14923	P14923	PLAK_HUMAN	JUP	Junction plakoglobin	311428	29336.7	52877.9	21114.3	33643.9	42805.8	20464.7	30897.2	38727.2	19844	147128	21942.5	25588.7	53856.8	49782.2	17758.2	55011.8	58786.3	30444.3	44060.8	187804	25810.4	31999.1	25671.9	34594.4	27521.6	28196.4	39139	30870.4	101204	56632.6	32302.4	127232	45687.8	44359	37985.2	135668	164779	24710.1	31463.2	140878	287924	31837.1	129695	46191.3	26176.4	8043.04	4669.34	4443.11	5422.41	7123.48	4919.44
P14927	P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	25011.4			13110.1	3229.65		3407.27			4593.45	6061.56	2742.29	14079.3						1303.88	3217.2		3396.5		6119.01		11843.8	10601.8							5063.39					3286.58		4082.6	2451.43	2555.18	8018.36	4612.87	1249.68	5639.04	2296.63	1852.76	1493.41	1864.1	1943.97
P15104	P15104	GLNA_HUMAN	GLUL	Glutamine synthetase		1013.29		1803.33	2344.82	1238.76	6921.94	4780.76	8062.66	3564.08		2856.8	6083.66	1893.8		2690.34		3559.39	2275.87		3216.72	3095.87	4504.68		6389.51		2430.73	2128.28	4143.52	2651.88	8043.48		8376.57	4650.73		5215.7	3530.75	3496	3205.14	1453.06	1784.61		2440.12	4537.94	1496.51	832.291		1569.73	1274.83	830.752	1469.64	790.599
P15121	P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	3469.19	8160.95		7031.16	6787.47	2801.47	3531.08	6637.37	3750.21	9871.86		7958.63	5500.86		2241.66	5867.8	5120.65	3984.94	7391.73		4335.79	6862.5	12137.2	4412.57	3086.57	2464.5	10628	12285.3	8824.14	7855.37	5523.68	9382.3	2201.22		2668.44	5783.18	2995.22	8120.77	13472.6	16617.1	5113.4		14846.4	9184.6	10669.4	8885.89	12790.3	14666.7	17234.2	13292.5	12339.3	12531.3
P15144	P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	2027.63			2861.61			3090.68				7413.01	5832.94				3871.64			8925.32					7060.11					64663.6										3120.64	13614				6717.52		5322.73	9426.5	7833.32	7133.68	5931.53	5097.24	6072.6
P15151	P15151	PVR_HUMAN	PVR	Poliovirus receptor											1702.41	500.401															14276.6														1299.62							3558.93	2427.47	3644.81	2725.48	3375.19
P15153	P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2										525.615									1170.8						1689.53							902.416					567.517				606.219							289.009	543.345	264.489	238.774	336.861
P15170	P15170;Q8IYD1	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	3634.69	6279.18		5721.22	10948.1		4847.11	7483.98	4721.18	5750.97	1643.65	9022.53	7140.98			11906.5		8078.95	8626.93			8575.59	9772.56	7034.98		4318.96	5562.76	14113.7	7344.48	9534.56		6093.97	8474.24				8932.52	5809.07	9799.13	7093.31	3955.9		6204.97	6805.04	6400.12	10647.1	3905.92	3299.38	2905.43	2557.87	2813.45	2807.11
P15289	P15289	ARSA_HUMAN	ARSA	Arylsulfatase A	2480.74						1621.19												1258.54									108989																			4462.22	6570.36	6180.11	7740.24	5715.77	8900.81
P15291	P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1																																													3873.61			1370.15	1677.95	1721.98	1451.74	1935.9
P15311	P15311	EZRI_HUMAN	EZR	Ezrin	6391.12	39543.8	10770.1	10044	12900.4	7483.04	31029.5	16912.1	13748	16920.3	5137.7	10756.1	21424	13767.1	12580.4	23068	8906.73	26259.8	14166	8024.39	9355.45	8862.88	9183.45	7474.76	5056.58	4269.42	4651.73	9186.89	24360.5	10869.3	7376.03	9175.83	11863.1	4682.16	11156.7	7363.77	8775.89	17576.6	7761.22	10185.3	7104.08	5014.69	6672.05	7787.4	9021.74	30053.6	26201.6	26091.2	18669.2	23691.2	29047.7	22427
P15336	P15336	ATF2_HUMAN	ATF2	Cyclic AMP-dependent transcription factor ATF-2																																															1553.63	213.315	271.621	296.424	186.047	311.445
P15374	P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3		6962.53		4601.23	3649.73		5385.16	3873.4	8699.29	7427.92		1965.69	3232.73			5323.71		6411.88				4423.29		3959.47	3071.32		3247.05		2860.74								3081.66		2244.83	5079.65	2270.94		5965.01	3055	4036.36		3391.99	7932.44	6762.3	7732.49	5415.63	8019.73
P15408	P15408	FOSL2_HUMAN	FOSL2	Fos-related antigen 2																																							2317.36									545.774	507.538	700.554	562.214	685.968
P15529	P15529	MCP_HUMAN	CD46	Membrane cofactor protein		1912.85																			2184.44																											503.907	725.648	817.302	780.384	798.481
P15531	P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A							5600.95			865.464						4385.79							7613.6						6200.71						2437.75		593.555		717.575								12451.9	25002.6	23287.3	23066.4	21537	24259.5
P15559	P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	5156.81	2138.17		2391.55	3862.16		5282.02	4034.71		5203.94			4968.17			2106.31			3395.55											2824.2														2489.3	2358.6		3825.09	3024.84	3663.95	6872.89	5843.29	5987.36
P15586	P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	12625.5	4155.58		6943.93	940.331	5392.12	3690.82	3668.95	3607.75	7378.27	9256.42	5653.26	4883.96		3963.97	4767.67	6278.31		3380.67	5431.59	4672.58	2736.61	4029.31	1748.73	4908.52	6894.72	4608.29	8687	4068.77	8247.1	5863.69	5544.15		5491.94	3465.52	3503.47	1119.78	3269.6	4354.29	2973.16	4046.21	7416.33	2922.37	7677.69	2131.82	2263.13	14095.9	13471.2	6479.72	13501.1	13281.3	12247.9
P15735	P15735	PHKG2_HUMAN	PHKG2	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform																																																432.507	856.513	555.466	521.891	662.276
P15848	P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	3319.48					5788.15	2545.03		6287.68		2099.16		1957			2187.84			1928.46			261.967	2159.03			1150.12			939.641					1304.53	3011.5			1937.39				3933.86					2443.37	4913.36	5422.33	7307.58	6162.15	7325.97
P15880	P15880	RS2_HUMAN	RPS2	40S ribosomal protein S2	13658.2	21403.3	13953	49662.9	63043.8	11796.1	38646.5	35774.7	19907.4	44479.1	10357.8	51748.8	43519.4	6907.06	13169	45635.9	6933.07	26144.7	46595	50973.5	14448.2	54134.8	29804.4	39157.8	8539.58	8879.99	36539.1	38051.1	35233.8	35839.7	16170.8	34658.2	21203.1	5821.47	20667.1	9873.57	39739.6	31115	45998.9	42733.2	43391.6	10363.2	38382.6	38272.5	37865.4	43333.8	32100.8	65200.4	57132.7	61894.9	65413.5	62720.4
P15924	P15924	DESP_HUMAN	DSP	Desmoplakin	254037	67142.3	126896	43119.9	66334.5	102503	50850.2	80415.2	102098	45158.4	80793.2	47335.9	60465.5	104677	114396	45943.9	108159	76669	62321.4	94810.7	131541	57061.7	72544.2	56551.6	74720.7	60357.6	60415	77930.7	71993.4	90030.8	113042	71681.8	134207	88955	95086.2	80597.3	90751.7	107211	57957.5	71334.4	134737	144270	74290.6	121927	63251.3	56971.4	5670.33	5047.09	4811.87	3702.62	7527.56	4384.08
P15927	P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit				1220.24	5393.88		2459.26	1118.19		1349.85	1088.3	3141.96				3228.89			4443.99			4082.29					3092.92					2142.21						2301.95		1796.95	912.442			3134.88				5829.75	3226.6	5775.65	4122.34	6444.9
P15954	P15954	COX7C_HUMAN	COX7C	Cytochrome c oxidase subunit 7C, mitochondrial	3024.17			1207.36				2692.29			2636.28	2406.15	1833.66			1141.94		2705.27	416.838			2265.63	4436.37	2879.11	6423.96	3286.49			1803.84	1107.62		2293.9		5257.17		1263.96		1462.62	2199.57		4267.26	4783.14	4090.82	1614.22	3742.54		7311.11	4910.76	2612.23	4275.61	4999.6	4349.49
P16035	P16035	TIMP2_HUMAN	TIMP2	Metalloproteinase inhibitor 2																																																690.2	1072.97	1050.04	748.941	1035.77
P16070	P16070	CD44_HUMAN	CD44	CD44 antigen	9778.5	18483.9	4460.33	8821.68	5925.33	3176.3	17928.4	9939.04	10333.8	12275.7	4910.51	9516.06	22158.2			15872.8		8774.06	9052.67	10455.4	16537.1	6050.86	3640.36	824.706		5643.51	1848.8	6681.58	7118.03	2520.92		5217.7		2471.03	6366.27		5408.91	3556.88	6508.56	4888.16	2252.04	3363.62	4420.71	3630.03	7091.17	9951.46	13983	35297.4	37055.6	36567.9	29403.4	33059
P16083	P16083	NQO2_HUMAN	NQO2	Ribosyldihydronicotinamide dehydrogenase [quinone]																																															3890.87	2512.38	2321.66	691.987	631.759	765.077
P16104	P16104	H2AX_HUMAN	H2AX	Histone H2AX	144671	111253	450706	674397	1.48399e+06	299839	743122	1.14927e+06	267416	651738	872566	812267	952548	286239	369265	1.0848e+06	432462	163846	721534	829628	122517	589162	910396	644392	1.0783e+06	1.55576e+06	894693	1.29241e+06	1.1273e+06	997379	392420	1.16037e+06	329370	1.63343e+06	966617	777376	164541	702247	549754	599057	798446	715990	699627	745943	609542	991320	792080	428380	425376	390480	465633	406985
P16144	P16144	ITB4_HUMAN	ITGB4	Integrin beta-4																													4707.17												2221.26						3372	2435.21	3357.49	3776.19	3954.58	4367.65
P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	2300.23	5492.8	10323	11551.2	5114.04	3736.4	8028.45	6251.11	5866.99	10150.3	3195.17	7360.54	8469.82	4327.24	6672.29	6157.67	5756.1	6926.76	5112.43	1847.93	4308.01	7781.52	10501.4	10870.3	2433.41	2127.02	9551.57	11176.8	8093.33	10076.8	5761.01	5667.02	12177.3	6641.67	3830.78	6477.79	11546.8	6557.87	10792.5	9516.47	20685.8	2871.81	6628.04	8298.27	13253.4	5315.69	8005.06	9569.34	13071.5	11505.3	9676.18	10902.2
P16157	P16157	ANK1_HUMAN	ANK1	Ankyrin-1				5934.63																																										1280.15		2218.9	3518.72	2265.77	2187.32	2681.43
P16219	P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial																										5656.38															3647.73							585.434	815.243	1162.46	1243.34	1227.84
P16220	P18846;P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1										1154.33	1373.43	821.271				1418.52																																1000.62	1247.35	881.572	835.183	1056.77
P16260	P16260	GDC_HUMAN	SLC25A16	Graves disease carrier protein																																																334.636	584.122	358.829	502.001	529.109
